service_quote_vip_id,company_id,service_id,name,index,quote,unit,start_date,end_date,hidden,disabled,deleted,deleted_at,created_at,created_by,updated_at,updated_by
,1,1007,365+,120_days_other,1.8,per CBM per day,2025/1/6 0:00,2099/12/31 23:59,0,0,0,,2025/1/6 0:00,0,2025/1/6 0:00,0
,1,1007,271 ~ 365,120_days365,0.9,per CBM per day,2025/1/6 0:00,2099/12/31 23:59,0,0,0,,2025/1/6 0:00,0,2025/1/6 0:00,0
,1,1007,181 ~ 270,120_days270,0.9,per CBM per day,2025/1/6 0:00,2099/12/31 23:59,0,0,0,,2025/1/6 0:00,0,2025/1/6 0:00,0
,1,1007,121 ~ 180,120_days180,0.7,per CBM per day,2025/1/6 0:00,2099/12/31 23:59,0,0,0,,2025/1/6 0:00,0,2025/1/6 0:00,0
,1,1007,91 ~ 120,120_days120,0.7,per CBM per day,2025/1/6 0:00,2099/12/31 23:59,0,0,0,,2025/1/6 0:00,0,2025/1/6 0:00,0
,1,1007,61 ~ 90,120_days_geq61_leq90,0.43,per CBM per day,2025/1/6 0:00,2099/12/31 23:59,0,0,0,,2025/1/6 0:00,0,2025/1/6 0:00,0
,1,1007,31 ~ 60,120_days60,0.43,per CBM per day,2025/1/6 0:00,2099/12/31 23:59,0,0,0,,2025/1/6 0:00,0,2025/1/6 0:00,0
,1,1007,0 ~ 30,120_days30,0,per CBM per day,2025/1/6 0:00,2099/12/31 23:59,0,0,0,,2025/1/6 0:00,0,2025/1/6 0:00,0
,1,1007,365+,118_days_other,1.8,per CBM per day,2025/1/6 0:00,2099/12/31 23:59,0,0,0,,2025/1/6 0:00,0,2025/1/6 0:00,0
,1,1007,271 ~ 365,118_days365,0.9,per CBM per day,2025/1/6 0:00,2099/12/31 23:59,0,0,0,,2025/1/6 0:00,0,2025/1/6 0:00,0
,1,1007,181 ~ 270,118_days270,0.9,per CBM per day,2025/1/6 0:00,2099/12/31 23:59,0,0,0,,2025/1/6 0:00,0,2025/1/6 0:00,0
,1,1007,121 ~ 180,118_days180,0.7,per CBM per day,2025/1/6 0:00,2099/12/31 23:59,0,0,0,,2025/1/6 0:00,0,2025/1/6 0:00,0
,1,1007,91 ~ 120,118_days120,0.7,per CBM per day,2025/1/6 0:00,2099/12/31 23:59,0,0,0,,2025/1/6 0:00,0,2025/1/6 0:00,0
,1,1007,61 ~ 90,118_days_geq61_leq90,0.43,per CBM per day,2025/1/6 0:00,2099/12/31 23:59,0,0,0,,2025/1/6 0:00,0,2025/1/6 0:00,0
,1,1007,31 ~ 60,118_days60,0.43,per CBM per day,2025/1/6 0:00,2099/12/31 23:59,0,0,0,,2025/1/6 0:00,0,2025/1/6 0:00,0
,1,1007,0 ~ 30,118_days30,0,per CBM per day,2025/1/6 0:00,2099/12/31 23:59,0,0,0,,2025/1/6 0:00,0,2025/1/6 0:00,0
,1,1007,365+,117_days_other,1.8,per CBM per day,2025/1/6 0:00,2099/12/31 23:59,0,0,0,,2025/1/6 0:00,0,2025/1/6 0:00,0
,1,1007,271 ~ 365,117_days365,0.9,per CBM per day,2025/1/6 0:00,2099/12/31 23:59,0,0,0,,2025/1/6 0:00,0,2025/1/6 0:00,0
,1,1007,181 ~ 270,117_days270,0.9,per CBM per day,2025/1/6 0:00,2099/12/31 23:59,0,0,0,,2025/1/6 0:00,0,2025/1/6 0:00,0
,1,1007,121 ~ 180,117_days180,0.7,per CBM per day,2025/1/6 0:00,2099/12/31 23:59,0,0,0,,2025/1/6 0:00,0,2025/1/6 0:00,0
,1,1007,91 ~ 120,117_days120,0.7,per CBM per day,2025/1/6 0:00,2099/12/31 23:59,0,0,0,,2025/1/6 0:00,0,2025/1/6 0:00,0
,1,1007,61 ~ 90,117_days_geq61_leq90,0.43,per CBM per day,2025/1/6 0:00,2099/12/31 23:59,0,0,0,,2025/1/6 0:00,0,2025/1/6 0:00,0
,1,1007,31 ~ 60,117_days60,0.43,per CBM per day,2025/1/6 0:00,2099/12/31 23:59,0,0,0,,2025/1/6 0:00,0,2025/1/6 0:00,0
