rate_id,service_id,weight,unit,zone,fee,start_date,end_date
,3064,1,oz,1,3.83,2024/8/5 0:00,2099/12/31 23:59
,3064,2,oz,1,3.85,2024/8/5 0:00,2099/12/31 23:59
,3064,3,oz,1,4.01,2024/8/5 0:00,2099/12/31 23:59
,3064,4,oz,1,4.03,2024/8/5 0:00,2099/12/31 23:59
,3064,5,oz,1,4.1,2024/8/5 0:00,2099/12/31 23:59
,3064,6,oz,1,4.13,2024/8/5 0:00,2099/12/31 23:59
,3064,7,oz,1,4.14,2024/8/5 0:00,2099/12/31 23:59
,3064,8,oz,1,4.16,2024/8/5 0:00,2099/12/31 23:59
,3064,9,oz,1,4.47,2024/8/5 0:00,2099/12/31 23:59
,3064,10,oz,1,4.48,2024/8/5 0:00,2099/12/31 23:59
,3064,11,oz,1,4.51,2024/8/5 0:00,2099/12/31 23:59
,3064,12,oz,1,4.52,2024/8/5 0:00,2099/12/31 23:59
,3064,13,oz,1,5.11,2024/8/5 0:00,2099/12/31 23:59
,3064,14,oz,1,5.13,2024/8/5 0:00,2099/12/31 23:59
,3064,15,oz,1,5.16,2024/8/5 0:00,2099/12/31 23:59
,3064,1,oz,2,3.83,2024/8/5 0:00,2099/12/31 23:59
,3064,2,oz,2,3.85,2024/8/5 0:00,2099/12/31 23:59
,3064,3,oz,2,4.01,2024/8/5 0:00,2099/12/31 23:59
,3064,4,oz,2,4.03,2024/8/5 0:00,2099/12/31 23:59
,3064,5,oz,2,4.1,2024/8/5 0:00,2099/12/31 23:59
,3064,6,oz,2,4.13,2024/8/5 0:00,2099/12/31 23:59
,3064,7,oz,2,4.14,2024/8/5 0:00,2099/12/31 23:59
,3064,8,oz,2,4.16,2024/8/5 0:00,2099/12/31 23:59
,3064,9,oz,2,4.47,2024/8/5 0:00,2099/12/31 23:59
,3064,10,oz,2,4.48,2024/8/5 0:00,2099/12/31 23:59
,3064,11,oz,2,4.51,2024/8/5 0:00,2099/12/31 23:59
,3064,12,oz,2,4.52,2024/8/5 0:00,2099/12/31 23:59
,3064,13,oz,2,5.11,2024/8/5 0:00,2099/12/31 23:59
,3064,14,oz,2,5.13,2024/8/5 0:00,2099/12/31 23:59
,3064,15,oz,2,5.16,2024/8/5 0:00,2099/12/31 23:59
,3064,1,oz,3,3.86,2024/8/5 0:00,2099/12/31 23:59
,3064,2,oz,3,3.87,2024/8/5 0:00,2099/12/31 23:59
,3064,3,oz,3,4.09,2024/8/5 0:00,2099/12/31 23:59
,3064,4,oz,3,4.11,2024/8/5 0:00,2099/12/31 23:59
,3064,5,oz,3,4.18,2024/8/5 0:00,2099/12/31 23:59
,3064,6,oz,3,4.22,2024/8/5 0:00,2099/12/31 23:59
,3064,7,oz,3,4.24,2024/8/5 0:00,2099/12/31 23:59
,3064,8,oz,3,4.26,2024/8/5 0:00,2099/12/31 23:59
,3064,9,oz,3,4.58,2024/8/5 0:00,2099/12/31 23:59
,3064,10,oz,3,4.61,2024/8/5 0:00,2099/12/31 23:59
,3064,11,oz,3,4.63,2024/8/5 0:00,2099/12/31 23:59
,3064,12,oz,3,4.65,2024/8/5 0:00,2099/12/31 23:59
,3064,13,oz,3,5.25,2024/8/5 0:00,2099/12/31 23:59
,3064,14,oz,3,5.28,2024/8/5 0:00,2099/12/31 23:59
,3064,15,oz,3,5.32,2024/8/5 0:00,2099/12/31 23:59
,3064,1,oz,4,3.87,2024/8/5 0:00,2099/12/31 23:59
,3064,2,oz,4,3.89,2024/8/5 0:00,2099/12/31 23:59
,3064,3,oz,4,4.13,2024/8/5 0:00,2099/12/31 23:59
,3064,4,oz,4,4.15,2024/8/5 0:00,2099/12/31 23:59
,3064,5,oz,4,4.24,2024/8/5 0:00,2099/12/31 23:59
,3064,6,oz,4,4.26,2024/8/5 0:00,2099/12/31 23:59
,3064,7,oz,4,4.28,2024/8/5 0:00,2099/12/31 23:59
