rate_id,service_id,weight,unit,zone,fee,start_date,end_date
,3056,1,oz,1,4.11,2024/8/5 0:00,2099/12/31 23:59
,3056,2,oz,1,4.11,2024/8/5 0:00,2099/12/31 23:59
,3056,3,oz,1,4.11,2024/8/5 0:00,2099/12/31 23:59
,3056,4,oz,1,4.11,2024/8/5 0:00,2099/12/31 23:59
,3056,5,oz,1,4.56,2024/8/5 0:00,2099/12/31 23:59
,3056,6,oz,1,4.56,2024/8/5 0:00,2099/12/31 23:59
,3056,7,oz,1,4.56,2024/8/5 0:00,2099/12/31 23:59
,3056,8,oz,1,4.56,2024/8/5 0:00,2099/12/31 23:59
,3056,9,oz,1,5.28,2024/8/5 0:00,2099/12/31 23:59
,3056,10,oz,1,5.28,2024/8/5 0:00,2099/12/31 23:59
,3056,11,oz,1,5.28,2024/8/5 0:00,2099/12/31 23:59
,3056,12,oz,1,5.28,2024/8/5 0:00,2099/12/31 23:59
,3056,13,oz,1,6.68,2024/8/5 0:00,2099/12/31 23:59
,3056,14,oz,1,6.68,2024/8/5 0:00,2099/12/31 23:59
,3056,15,oz,1,6.68,2024/8/5 0:00,2099/12/31 23:59
,3056,1,oz,2,4.16,2024/8/5 0:00,2099/12/31 23:59
,3056,2,oz,2,4.16,2024/8/5 0:00,2099/12/31 23:59
,3056,3,oz,2,4.16,2024/8/5 0:00,2099/12/31 23:59
,3056,4,oz,2,4.16,2024/8/5 0:00,2099/12/31 23:59
,3056,5,oz,2,4.64,2024/8/5 0:00,2099/12/31 23:59
,3056,6,oz,2,4.64,2024/8/5 0:00,2099/12/31 23:59
,3056,7,oz,2,4.64,2024/8/5 0:00,2099/12/31 23:59
,3056,8,oz,2,4.64,2024/8/5 0:00,2099/12/31 23:59
,3056,9,oz,2,5.36,2024/8/5 0:00,2099/12/31 23:59
,3056,10,oz,2,5.36,2024/8/5 0:00,2099/12/31 23:59
,3056,11,oz,2,5.36,2024/8/5 0:00,2099/12/31 23:59
,3056,12,oz,2,5.36,2024/8/5 0:00,2099/12/31 23:59
,3056,13,oz,2,6.78,2024/8/5 0:00,2099/12/31 23:59
,3056,14,oz,2,6.78,2024/8/5 0:00,2099/12/31 23:59
,3056,15,oz,2,6.78,2024/8/5 0:00,2099/12/31 23:59
,3056,1,oz,3,4.18,2024/8/5 0:00,2099/12/31 23:59
,3056,2,oz,3,4.18,2024/8/5 0:00,2099/12/31 23:59
,3056,3,oz,3,4.18,2024/8/5 0:00,2099/12/31 23:59
,3056,4,oz,3,4.18,2024/8/5 0:00,2099/12/31 23:59
,3056,5,oz,3,4.67,2024/8/5 0:00,2099/12/31 23:59
,3056,6,oz,3,4.67,2024/8/5 0:00,2099/12/31 23:59
,3056,7,oz,3,4.67,2024/8/5 0:00,2099/12/31 23:59
,3056,8,oz,3,4.67,2024/8/5 0:00,2099/12/31 23:59
,3056,9,oz,3,5.41,2024/8/5 0:00,2099/12/31 23:59
,3056,10,oz,3,5.41,2024/8/5 0:00,2099/12/31 23:59
,3056,11,oz,3,5.41,2024/8/5 0:00,2099/12/31 23:59
,3056,12,oz,3,5.41,2024/8/5 0:00,2099/12/31 23:59
,3056,13,oz,3,6.85,2024/8/5 0:00,2099/12/31 23:59
,3056,14,oz,3,6.85,2024/8/5 0:00,2099/12/31 23:59
,3056,15,oz,3,6.85,2024/8/5 0:00,2099/12/31 23:59
,3056,1,oz,4,4.29,2024/8/5 0:00,2099/12/31 23:59
,3056,2,oz,4,4.29,2024/8/5 0:00,2099/12/31 23:59
,3056,3,oz,4,4.29,2024/8/5 0:00,2099/12/31 23:59
,3056,4,oz,4,4.29,2024/8/5 0:00,2099/12/31 23:59
,3056,5,oz,4,4.75,2024/8/5 0:00,2099/12/31 23:59
,3056,6,oz,4,4.75,2024/8/5 0:00,2099/12/31 23:59
,3056,7,oz,4,4.75,2024/8/5 0:00,2099/12/31 23:59
,3056,8,oz,4,4.75,2024/8/5 0:00,2099/12/31 23:59
,3056,9,oz,4,5.5,2024/8/5 0:00,2099/12/31 23:59
,3056,10,oz,4,5.5,2024/8/5 0:00,2099/12/31 23:59
,3056,11,oz,4,5.5,2024/8/5 0:00,2099/12/31 23:59
,3056,12,oz,4,5.5,2024/8/5 0:00,2099/12/31 23:59
,3056,13,oz,4,6.93,2024/8/5 0:00,2099/12/31 23:59
,3056,14,oz,4,6.93,2024/8/5 0:00,2099/12/31 23:59
,3056,15,oz,4,6.93,2024/8/5 0:00,2099/12/31 23:59
,3056,1,oz,5,4.36,2024/8/5 0:00,2099/12/31 23:59
,3056,2,oz,5,4.36,2024/8/5 0:00,2099/12/31 23:59
,3056,3,oz,5,4.36,2024/8/5 0:00,2099/12/31 23:59
,3056,4,oz,5,4.36,2024/8/5 0:00,2099/12/31 23:59
,3056,5,oz,5,4.8,2024/8/5 0:00,2099/12/31 23:59
,3056,6,oz,5,4.8,2024/8/5 0:00,2099/12/31 23:59
,3056,7,oz,5,4.8,2024/8/5 0:00,2099/12/31 23:59
,3056,8,oz,5,4.8,2024/8/5 0:00,2099/12/31 23:59
,3056,9,oz,5,5.58,2024/8/5 0:00,2099/12/31 23:59
,3056,10,oz,5,5.58,2024/8/5 0:00,2099/12/31 23:59
,3056,11,oz,5,5.58,2024/8/5 0:00,2099/12/31 23:59
,3056,12,oz,5,5.58,2024/8/5 0:00,2099/12/31 23:59
,3056,13,oz,5,7.1,2024/8/5 0:00,2099/12/31 23:59
,3056,14,oz,5,7.1,2024/8/5 0:00,2099/12/31 23:59
,3056,15,oz,5,7.1,2024/8/5 0:00,2099/12/31 23:59
