rate_id,service_id,weight,unit,zone,fee,start_date,end_date
,3426,1,lb,2,9.6,2025/12/23 20:00:00,2099/12/31 23:59:00
,3426,2,lb,2,9.6,2025/12/23 20:00:00,2099/12/31 23:59:00
,3426,3,lb,2,9.6,2025/12/23 20:00:00,2099/12/31 23:59:00
,3426,4,lb,2,9.6,2025/12/23 20:00:00,2099/12/31 23:59:00
,3426,5,lb,2,9.6,2025/12/23 20:00:00,2099/12/31 23:59:00
,3426,6,lb,2,9.6,2025/12/23 20:00:00,2099/12/31 23:59:00
,3426,7,lb,2,9.6,2025/12/23 20:00:00,2099/12/31 23:59:00
,3426,8,lb,2,9.6,2025/12/23 20:00:00,2099/12/31 23:59:00
,3426,9,lb,2,9.6,2025/12/23 20:00:00,2099/12/31 23:59:00
,3426,10,lb,2,9.6,2025/12/23 20:00:00,2099/12/31 23:59:00
,3426,11,lb,2,9.6,2025/12/23 20:00:00,2099/12/31 23:59:00
,3426,12,lb,2,9.6,2025/12/23 20:00:00,2099/12/31 23:59:00
,3426,13,lb,2,9.6,2025/12/23 20:00:00,2099/12/31 23:59:00
,3426,14,lb,2,9.6,2025/12/23 20:00:00,2099/12/31 23:59:00
,3426,15,lb,2,9.6,2025/12/23 20:00:00,2099/12/31 23:59:00
,3426,16,lb,2,9.6,2025/12/23 20:00:00,2099/12/31 23:59:00
,3426,17,lb,2,9.6,2025/12/23 20:00:00,2099/12/31 23:59:00
,3426,18,lb,2,9.6,2025/12/23 20:00:00,2099/12/31 23:59:00
,3426,19,lb,2,9.6,2025/12/23 20:00:00,2099/12/31 23:59:00
,3426,20,lb,2,9.6,2025/12/23 20:00:00,2099/12/31 23:59:00
,3426,21,lb,2,9.6,2025/12/23 20:00:00,2099/12/31 23:59:00
,3426,22,lb,2,9.6,2025/12/23 20:00:00,2099/12/31 23:59:00
,3426,23,lb,2,9.6,2025/12/23 20:00:00,2099/12/31 23:59:00
,3426,24,lb,2,9.6,2025/12/23 20:00:00,2099/12/31 23:59:00
,3426,25,lb,2,9.6,2025/12/23 20:00:00,2099/12/31 23:59:00
,3426,26,lb,2,9.6,2025/12/23 20:00:00,2099/12/31 23:59:00
,3426,27,lb,2,9.6,2025/12/23 20:00:00,2099/12/31 23:59:00
,3426,28,lb,2,9.6,2025/12/23 20:00:00,2099/12/31 23:59:00
,3426,29,lb,2,9.6,2025/12/23 20:00:00,2099/12/31 23:59:00
,3426,30,lb,2,9.6,2025/12/23 20:00:00,2099/12/31 23:59:00
