rate_id,service_id,weight,unit,zone,fee,start_date,end_date,created_at,created_by,updated_at,updated_by
,1611,1,lb,2,7.78,2026/1/5 0:00,2099/12/31 23:59,2026/1/5 0:00,336,2026/1/5 0:00,336
,1611,2,lb,2,7.78,2026/1/5 0:00,2099/12/31 23:59,2026/1/5 0:00,336,2026/1/5 0:00,336
,1611,3,lb,2,7.78,2026/1/5 0:00,2099/12/31 23:59,2026/1/5 0:00,336,2026/1/5 0:00,336
,1611,4,lb,2,7.78,2026/1/5 0:00,2099/12/31 23:59,2026/1/5 0:00,336,2026/1/5 0:00,336
,1611,5,lb,2,7.78,2026/1/5 0:00,2099/12/31 23:59,2026/1/5 0:00,336,2026/1/5 0:00,336
,1611,6,lb,2,7.78,2026/1/5 0:00,2099/12/31 23:59,2026/1/5 0:00,336,2026/1/5 0:00,336
,1611,7,lb,2,7.78,2026/1/5 0:00,2099/12/31 23:59,2026/1/5 0:00,336,2026/1/5 0:00,336
,1611,8,lb,2,7.78,2026/1/5 0:00,2099/12/31 23:59,2026/1/5 0:00,336,2026/1/5 0:00,336
,1611,9,lb,2,7.78,2026/1/5 0:00,2099/12/31 23:59,2026/1/5 0:00,336,2026/1/5 0:00,336
,1611,10,lb,2,7.78,2026/1/5 0:00,2099/12/31 23:59,2026/1/5 0:00,336,2026/1/5 0:00,336
,1611,11,lb,2,7.78,2026/1/5 0:00,2099/12/31 23:59,2026/1/5 0:00,336,2026/1/5 0:00,336
,1611,12,lb,2,7.78,2026/1/5 0:00,2099/12/31 23:59,2026/1/5 0:00,336,2026/1/5 0:00,336
,1611,13,lb,2,7.78,2026/1/5 0:00,2099/12/31 23:59,2026/1/5 0:00,336,2026/1/5 0:00,336
,1611,14,lb,2,7.78,2026/1/5 0:00,2099/12/31 23:59,2026/1/5 0:00,336,2026/1/5 0:00,336
,1611,15,lb,2,7.78,2026/1/5 0:00,2099/12/31 23:59,2026/1/5 0:00,336,2026/1/5 0:00,336
,1611,16,lb,2,7.78,2026/1/5 0:00,2099/12/31 23:59,2026/1/5 0:00,336,2026/1/5 0:00,336
,1611,17,lb,2,7.78,2026/1/5 0:00,2099/12/31 23:59,2026/1/5 0:00,336,2026/1/5 0:00,336
,1611,18,lb,2,7.78,2026/1/5 0:00,2099/12/31 23:59,2026/1/5 0:00,336,2026/1/5 0:00,336
,1611,19,lb,2,7.78,2026/1/5 0:00,2099/12/31 23:59,2026/1/5 0:00,336,2026/1/5 0:00,336
,1611,20,lb,2,7.78,2026/1/5 0:00,2099/12/31 23:59,2026/1/5 0:00,336,2026/1/5 0:00,336
,1611,21,lb,2,7.78,2026/1/5 0:00,2099/12/31 23:59,2026/1/5 0:00,336,2026/1/5 0:00,336
,1611,22,lb,2,7.78,2026/1/5 0:00,2099/12/31 23:59,2026/1/5 0:00,336,2026/1/5 0:00,336
,1611,23,lb,2,7.78,2026/1/5 0:00,2099/12/31 23:59,2026/1/5 0:00,336,2026/1/5 0:00,336
,1611,24,lb,2,7.78,2026/1/5 0:00,2099/12/31 23:59,2026/1/5 0:00,336,2026/1/5 0:00,336
,1611,25,lb,2,7.78,2026/1/5 0:00,2099/12/31 23:59,2026/1/5 0:00,336,2026/1/5 0:00,336
,1611,26,lb,2,7.78,2026/1/5 0:00,2099/12/31 23:59,2026/1/5 0:00,336,2026/1/5 0:00,336
,1611,27,lb,2,7.78,2026/1/5 0:00,2099/12/31 23:59,2026/1/5 0:00,336,2026/1/5 0:00,336
,1611,28,lb,2,7.78,2026/1/5 0:00,2099/12/31 23:59,2026/1/5 0:00,336,2026/1/5 0:00,336
,1611,29,lb,2,7.78,2026/1/5 0:00,2099/12/31 23:59,2026/1/5 0:00,336,2026/1/5 0:00,336
,1611,30,lb,2,7.78,2026/1/5 0:00,2099/12/31 23:59,2026/1/5 0:00,336,2026/1/5 0:00,336
,1611,31,lb,2,7.78,2026/1/5 0:00,2099/12/31 23:59,2026/1/5 0:00,336,2026/1/5 0:00,336
,1611,32,lb,2,7.78,2026/1/5 0:00,2099/12/31 23:59,2026/1/5 0:00,336,2026/1/5 0:00,336
,1611,33,lb,2,7.78,2026/1/5 0:00,2099/12/31 23:59,2026/1/5 0:00,336,2026/1/5 0:00,336
,1611,34,lb,2,7.78,2026/1/5 0:00,2099/12/31 23:59,2026/1/5 0:00,336,2026/1/5 0:00,336
,1611,35,lb,2,7.78,2026/1/5 0:00,2099/12/31 23:59,2026/1/5 0:00,336,2026/1/5 0:00,336
,1611,36,lb,2,7.78,2026/1/5 0:00,2099/12/31 23:59,2026/1/5 0:00,336,2026/1/5 0:00,336
,1611,37,lb,2,7.78,2026/1/5 0:00,2099/12/31 23:59,2026/1/5 0:00,336,2026/1/5 0:00,336
,1611,38,lb,2,7.78,2026/1/5 0:00,2099/12/31 23:59,2026/1/5 0:00,336,2026/1/5 0:00,336
,1611,39,lb,2,7.78,2026/1/5 0:00,2099/12/31 23:59,2026/1/5 0:00,336,2026/1/5 0:00,336
,1611,40,lb,2,7.78,2026/1/5 0:00,2099/12/31 23:59,2026/1/5 0:00,336,2026/1/5 0:00,336
,1611,41,lb,2,7.78,2026/1/5 0:00,2099/12/31 23:59,2026/1/5 0:00,336,2026/1/5 0:00,336
,1611,42,lb,2,7.78,2026/1/5 0:00,2099/12/31 23:59,2026/1/5 0:00,336,2026/1/5 0:00,336
,1611,43,lb,2,7.78,2026/1/5 0:00,2099/12/31 23:59,2026/1/5 0:00,336,2026/1/5 0:00,336
,1611,44,lb,2,7.78,2026/1/5 0:00,2099/12/31 23:59,2026/1/5 0:00,336,2026/1/5 0:00,336
,1611,45,lb,2,7.78,2026/1/5 0:00,2099/12/31 23:59,2026/1/5 0:00,336,2026/1/5 0:00,336
,1611,46,lb,2,7.78,2026/1/5 0:00,2099/12/31 23:59,2026/1/5 0:00,336,2026/1/5 0:00,336
,1611,47,lb,2,7.78,2026/1/5 0:00,2099/12/31 23:59,2026/1/5 0:00,336,2026/1/5 0:00,336
,1611,48,lb,2,7.78,2026/1/5 0:00,2099/12/31 23:59,2026/1/5 0:00,336,2026/1/5 0:00,336
,1611,49,lb,2,7.78,2026/1/5 0:00,2099/12/31 23:59,2026/1/5 0:00,336,2026/1/5 0:00,336
,1611,50,lb,2,7.78,2026/1/5 0:00,2099/12/31 23:59,2026/1/5 0:00,336,2026/1/5 0:00,336
,1611,51,lb,2,7.78,2026/1/5 0:00,2099/12/31 23:59,2026/1/5 0:00,336,2026/1/5 0:00,336
,1611,52,lb,2,7.78,2026/1/5 0:00,2099/12/31 23:59,2026/1/5 0:00,336,2026/1/5 0:00,336
,1611,53,lb,2,7.78,2026/1/5 0:00,2099/12/31 23:59,2026/1/5 0:00,336,2026/1/5 0:00,336
,1611,54,lb,2,7.78,2026/1/5 0:00,2099/12/31 23:59,2026/1/5 0:00,336,2026/1/5 0:00,336
,1611,55,lb,2,7.78,2026/1/5 0:00,2099/12/31 23:59,2026/1/5 0:00,336,2026/1/5 0:00,336
,1611,56,lb,2,7.78,2026/1/5 0:00,2099/12/31 23:59,2026/1/5 0:00,336,2026/1/5 0:00,336
,1611,57,lb,2,7.78,2026/1/5 0:00,2099/12/31 23:59,2026/1/5 0:00,336,2026/1/5 0:00,336
,1611,58,lb,2,7.78,2026/1/5 0:00,2099/12/31 23:59,2026/1/5 0:00,336,2026/1/5 0:00,336
,1611,59,lb,2,7.78,2026/1/5 0:00,2099/12/31 23:59,2026/1/5 0:00,336,2026/1/5 0:00,336
,1611,60,lb,2,7.78,2026/1/5 0:00,2099/12/31 23:59,2026/1/5 0:00,336,2026/1/5 0:00,336
