service_quote_id,service_id,name,index,quote,unit,start_date,end_date,hidden,disabled,deleted,deleted_at,created_at,created_by,updated_at,updated_by
,3337,SG Parcel Dimension Weight Divisor Dimension Weight Divisor,Dimension Weight Divisor,166,Voume Weight(LBS) = length(in)*width(in)*height(in)/Divisor,2025/1/6 0:00,2099/12/31 23:59,0,0,0,,2025/1/6 0:00,0,2025/1/6 0:00,0
,3337,SG Parcel Dimension Weight Divisor Dimension Weight Divisor,USPS Priority Minimum volume,1728,Package Volume(Inches^3)=length(in)*width(in)*height(in),2025/1/6 0:00,2099/12/31 23:59,0,0,0,,2025/1/6 0:00,0,2025/1/6 0:00,0
,3338,SG Parcel Dimension Weight Divisor Dimension Weight Divisor,Dimension Weight Divisor,166,Voume Weight(LBS) = length(in)*width(in)*height(in)/Divisor,2025/1/6 0:00,2099/12/31 23:59,0,0,0,,2025/1/6 0:00,0,2025/1/6 0:00,0
,3338,SG Parcel Dimension Weight Divisor Dimension Weight Divisor,USPS Priority Minimum volume,1728,Package Volume(Inches^3)=length(in)*width(in)*height(in),2025/1/6 0:00,2099/12/31 23:59,0,0,0,,2025/1/6 0:00,0,2025/1/6 0:00,0
,3339,SG Parcel Dimension Weight Divisor Dimension Weight Divisor,Dimension Weight Divisor,166,Voume Weight(LBS) = length(in)*width(in)*height(in)/Divisor,2025/1/6 0:00,2099/12/31 23:59,0,0,0,,2025/1/6 0:00,0,2025/1/6 0:00,0
,3339,SG Parcel Dimension Weight Divisor Dimension Weight Divisor,USPS Priority Minimum volume,1728,Package Volume(Inches^3)=length(in)*width(in)*height(in),2025/1/6 0:00,2099/12/31 23:59,0,0,0,,2025/1/6 0:00,0,2025/1/6 0:00,0
,3340,SG Parcel Dimension Weight Divisor Dimension Weight Divisor,Dimension Weight Divisor,166,Voume Weight(LBS) = length(in)*width(in)*height(in)/Divisor,2025/1/6 0:00,2099/12/31 23:59,0,0,0,,2025/1/6 0:00,0,2025/1/6 0:00,0
,3340,SG Parcel Dimension Weight Divisor Dimension Weight Divisor,USPS Priority Minimum volume,1728,Package Volume(Inches^3)=length(in)*width(in)*height(in),2025/1/6 0:00,2099/12/31 23:59,0,0,0,,2025/1/6 0:00,0,2025/1/6 0:00,0
,3341,SG Parcel Dimension Weight Divisor Dimension Weight Divisor,Dimension Weight Divisor,166,Voume Weight(LBS) = length(in)*width(in)*height(in)/Divisor,2025/1/6 0:00,2099/12/31 23:59,0,0,0,,2025/1/6 0:00,0,2025/1/6 0:00,0
,3341,SG Parcel Dimension Weight Divisor Dimension Weight Divisor,USPS Priority Minimum volume,1728,Package Volume(Inches^3)=length(in)*width(in)*height(in),2025/1/6 0:00,2099/12/31 23:59,0,0,0,,2025/1/6 0:00,0,2025/1/6 0:00,0
,3342,SG Parcel Dimension Weight Divisor Dimension Weight Divisor,Dimension Weight Divisor,166,Voume Weight(LBS) = length(in)*width(in)*height(in)/Divisor,2025/1/6 0:00,2099/12/31 23:59,0,0,0,,2025/1/6 0:00,0,2025/1/6 0:00,0
,3342,SG Parcel Dimension Weight Divisor Dimension Weight Divisor,USPS Priority Minimum volume,1728,Package Volume(Inches^3)=length(in)*width(in)*height(in),2025/1/6 0:00,2099/12/31 23:59,0,0,0,,2025/1/6 0:00,0,2025/1/6 0:00,0
,3343,SG Parcel Dimension Weight Divisor Dimension Weight Divisor,Dimension Weight Divisor,166,Voume Weight(LBS) = length(in)*width(in)*height(in)/Divisor,2025/1/6 0:00,2099/12/31 23:59,0,0,0,,2025/1/6 0:00,0,2025/1/6 0:00,0
,3343,SG Parcel Dimension Weight Divisor Dimension Weight Divisor,USPS Priority Minimum volume,1728,Package Volume(Inches^3)=length(in)*width(in)*height(in),2025/1/6 0:00,2099/12/31 23:59,0,0,0,,2025/1/6 0:00,0,2025/1/6 0:00,0
,3344,SG Parcel Dimension Weight Divisor Dimension Weight Divisor,Dimension Weight Divisor,166,Voume Weight(LBS) = length(in)*width(in)*height(in)/Divisor,2025/1/6 0:00,2099/12/31 23:59,0,0,0,,2025/1/6 0:00,0,2025/1/6 0:00,0
,3344,SG Parcel Dimension Weight Divisor Dimension Weight Divisor,USPS Priority Minimum volume,1728,Package Volume(Inches^3)=length(in)*width(in)*height(in),2025/1/6 0:00,2099/12/31 23:59,0,0,0,,2025/1/6 0:00,0,2025/1/6 0:00,0
,3345,SG Parcel Dimension Weight Divisor Dimension Weight Divisor,Dimension Weight Divisor,166,Voume Weight(LBS) = length(in)*width(in)*height(in)/Divisor,2025/1/6 0:00,2099/12/31 23:59,0,0,0,,2025/1/6 0:00,0,2025/1/6 0:00,0
,3345,SG Parcel Dimension Weight Divisor Dimension Weight Divisor,USPS Priority Minimum volume,1728,Package Volume(Inches^3)=length(in)*width(in)*height(in),2025/1/6 0:00,2099/12/31 23:59,0,0,0,,2025/1/6 0:00,0,2025/1/6 0:00,0
,3346,SG Parcel Dimension Weight Divisor Dimension Weight Divisor,Dimension Weight Divisor,166,Voume Weight(LBS) = length(in)*width(in)*height(in)/Divisor,2025/1/6 0:00,2099/12/31 23:59,0,0,0,,2025/1/6 0:00,0,2025/1/6 0:00,0
,3346,SG Parcel Dimension Weight Divisor Dimension Weight Divisor,USPS Priority Minimum volume,1728,Package Volume(Inches^3)=length(in)*width(in)*height(in),2025/1/6 0:00,2099/12/31 23:59,0,0,0,,2025/1/6 0:00,0,2025/1/6 0:00,0
